Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
PGMN3,"5,50","18,45","1,28","0,255","3,95%","0,393","1,96","4,79","-2,86","6,95","4,12","5,33%","1,39%","1,57","10,91%","6,93%","12.926.500,00","2.851.840.000,00","0,61","18,17%"
CPLE3,"13,67","18,46","1,57","1,634","4,30%","0,657","10,25","9,37","-1,78","13,27","9,92","17,44%","8,80%","1,43","7,90%","8,50%","78.491.400,00","25.986.000.000,00","0,81","1,20%"
BFIT3,"0,98","18,49","2,06","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","11,15%","0,00","1.849.420.000,00","0,00","35,67%"
ALPA3,"10,15","18,55","1,61","1,564","13,31%","1,112","3,80","12,20","5,80","11,52","7,85","12,83%","8,41%","2,40","11,84%","8,69%","124.028,00","4.301.190.000,00","0,15","1,88%"
TMCP3,"56,00","18,58","1,38","1,525","0,00%","0,937","3,85","24,25","4,74","19,68","19,68","6,29%","9,75%","2,30","5,54%","7,44%","0,00","1.798.930.000,00","0,03","10,49%"
BPAN4,"11,12","18,72","1,81","0,000","2,17%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","9,67%","30.099.900,00","7.792.670.000,00","0,00","-1,53%"
ALOS3,"27,93","18,76","1,05","4,990","5,30%","0,535","5,52","9,81","-1,68","7,78","5,44","50,89%","30,66%","3,06","6,15%","5,59%","95.225.500,00","13.419.200.000,00","0,00","38,54%"
VIVT3,"35,25","18,79","1,66","1,942","5,51%","0,918","307,92","12,75","-3,65","14,01","5,25","15,24%","10,32%","1,02","8,30%","8,85%","135.662.000,00","68.438.100.000,00","0,26","7,69%"
SMLE3,"92,82","18,88","21,91","6,635","0,00%","6,477","-124,00","16,50","-42,31","16,32","13,20","40,22%","35,14%","0,91","46,17%","116,04%","0,00","524.731.000,00","0,00","36,83%"
TELB3,"10,46","18,99","0,70","2,309","0,00%","0,252","0,60","-3,47","-1,99","1,03","11,18","-66,51%","12,16%","5,55","-12,02%","3,68%","15.100,10","1.527.940.000,00","0,00","13,00%"
CPLE6,"14,26","19,26","1,64","1,705","4,53%","0,686","10,69","9,78","-1,85","13,67","10,22","17,44%","8,80%","1,43","7,90%","8,50%","103.621.000,00","25.986.000.000,00","0,81","1,20%"
TMCP4,"58,20","19,31","1,44","1,585","0,00%","0,973","4,00","25,21","4,92","20,63","20,63","6,29%","9,75%","2,30","5,54%","7,44%","0,00","1.798.930.000,00","0,03","10,49%"
